semana,dia,horas_trabalhadas,bugs_corrigidos,qtda_bugs,tarefas_concluidas,quantidade_funcionarios
1,segunda,8,5,5,12,4
1,terça,8,3,3,12,4
1,quarta,8,2,2,14,4
1,quinta,8,4,4,11,4
1,sexta,8,6,6,15,4
1,sabado,0,0,0,0,4
1,domingo,,
2,segunda,8,3,3,14,4
2,terça,8,1,1,14,4
2,quarta,8,6,6,11,4
2,quinta,8,5,5,13,4
2,sexta,8,7,7,10,4
2,sabado,0,0,0,0,4
2,domingo,,
3,segunda,9,6,7,9,3
3,terça,9,6,6,8,3
3,quarta,9,6,9,9,3
3,quinta,9,6,10,9,3
3,sexta,9,6,11,10,3
3,sabado,5,2,13,5,3
3,domingo,,
4,segunda,10,3,15,5,2
4,terça,10,3,17,5,2
4,quarta,10,3,20,5,2
4,quinta,10,3,21,5,2
4,sexta,10,3,20,7,2
4,sabado,6,3,22,6,2
4,domingo,,
